census_accession,span_aa,segment_count,extracellular_total_aa,discarded_aa,folded_fraction,topology,segments
Q6ZMH5,192,4,230,38,0.835,intermittent,21-212;266-287;466-470;530-540
Q9UN74,668,1,668,0,1.000,contiguous,30-697
O75197,1353,1,1353,0,1.000,contiguous,32-1384
Q9UKZ4,2380,1,2380,0,1.000,contiguous,346-2725
Q9NS67,23,4,79,56,0.291,intermittent,1-23;77-97;161-181;307-320
Q86Y34,250,4,296,46,0.845,intermittent,21-270;327-338;401-428;496-501
Q9H3R1,838,1,838,0,1.000,contiguous,35-872
Q9H3R2,403,1,403,0,1.000,contiguous,19-421
Q96GW7,623,0,0,0,,no_accepted_segment,
P46092,52,4,112,60,0.464,intermittent,1-52;100-114;180-203;270-290
Q13258,27,4,99,72,0.273,intermittent,1-21;81-107;172-195;284-310
Q08345,397,1,397,0,1.000,contiguous,21-417
P43630,319,1,319,0,1.000,contiguous,22-340
Q9NRZ7,171,1,171,0,1.000,contiguous,146-316
Q5VW38,224,4,265,41,0.845,intermittent,40-263;315-337;390-402;520-524
P51575,288,1,288,0,1.000,contiguous,51-338
O14495,50,3,95,45,0.526,intermittent,55-85;144-193;244-257
O43462,195,4,298,103,0.654,intermittent,25-74;108-144;252-446;477-492
Q8TCT6,51,5,73,22,0.699,intermittent,1-8;96-97;160-164;212-262;333-339
Q9BYC5,545,1,545,0,1.000,contiguous,31-575
P41587,101,4,151,50,0.669,intermittent,24-124;181-203;262-280;347-354
Q9HBA0,29,4,58,29,0.500,intermittent,491-507;569-572;637-665;686-693
O94933,626,1,626,0,1.000,contiguous,29-654
P35613,188,1,188,0,1.000,contiguous,138-325
P17181,409,1,409,0,1.000,contiguous,28-436
Q8NGX2,37,4,97,60,0.381,intermittent,1-26;81-101;159-195;260-272
Q9HBX8,543,4,601,58,0.903,intermittent,25-567;620-644;709-727;796-809
Q86VH5,389,1,389,0,1.000,contiguous,31-419
Q8TE99,453,1,453,0,1.000,contiguous,28-480
Q496H8,103,0,0,0,,no_accepted_segment,
Q9UJ99,589,1,589,0,1.000,contiguous,36-624
P54760,524,1,524,0,1.000,contiguous,16-539
Q9UIR0,459,1,459,0,1.000,contiguous,24-482
Q8NGR4,36,4,102,66,0.353,intermittent,1-29;80-103;165-200;263-275
O95222,36,4,103,67,0.350,intermittent,1-26;77-104;166-201;264-276
Q8IV77,23,3,38,15,0.605,intermittent,61-70;136-140;191-213
Q8IZP7,444,1,444,0,1.000,contiguous,28-471
O15399,555,2,724,169,0.767,intermittent,28-582;675-843
P78382,15,5,59,44,0.254,intermittent,31-45;109-114;161-175;229-243;289-296
P35414,34,4,96,62,0.354,intermittent,1-30;87-99;165-198;271-289
P13866,54,8,164,110,0.329,intermittent,1-24;91-95;170-176;222-275;332-375;445-451;505-525;663-664
O15375,15,6,62,47,0.242,intermittent,39-53;102-110;159-171;261-274;327-329;389-396
Q7L1W4,115,2,147,32,0.782,intermittent,49-163;329-360
Q16348,210,6,270,60,0.778,intermittent,79-83;135-139;205-217;317-343;402-611;665-674
Q8NGP0,37,4,92,55,0.402,intermittent,1-23;78-98;157-193;257-267
P04001,52,4,100,48,0.520,intermittent,1-52;116-129;193-218;293-300
P56696,12,4,35,23,0.343,intermittent,119-129;192-202;259-270;293-293
Q92187,339,1,339,0,1.000,contiguous,21-359
A6NM45,50,2,73,23,0.685,intermittent,32-81;139-161
P25103,31,4,89,58,0.348,intermittent,1-31;87-106;170-194;271-283
Q9NRB3,388,1,388,0,1.000,contiguous,27-414
P35410,77,4,120,43,0.642,intermittent,1-77;137-154;208-221;287-297
Q9ULX7,275,1,275,0,1.000,contiguous,16-290
A5D6W6,25,4,70,45,0.357,intermittent,1-18;76-94;163-187;242-249
Q9NRS4,384,1,384,0,1.000,contiguous,54-437
P51693,542,1,542,0,1.000,contiguous,39-580
Q9ULB5,580,1,580,0,1.000,contiguous,28-607
P30518,38,4,81,43,0.469,intermittent,1-38;102-108;178-199;294-307
O75110,12,5,38,26,0.316,intermittent,92-96;326-332;863-874;943-949;1000-1006
Q8NBR0,282,1,282,0,1.000,contiguous,28-309
Q8WV19,5,2,9,4,0.556,intermittent,58-62;119-122
P43626,224,1,224,0,1.000,contiguous,22-245
P04156,207,0,0,0,,no_accepted_segment,
O95150,195,1,195,0,1.000,contiguous,57-251
Q6NV75,28,4,73,45,0.384,intermittent,1-11;63-84;148-175;265-276
Q86Y38,921,1,921,0,1.000,contiguous,39-959
O94985,831,1,831,0,1.000,contiguous,29-859
P30511,284,1,284,0,1.000,contiguous,22-305
P34972,33,4,73,40,0.452,intermittent,1-33;93-104;173-188;268-279
P17927,1930,1,1930,0,1.000,contiguous,42-1971
P48651,69,5,210,141,0.329,intermittent,57-72;124-186;238-286;343-355;405-473
Q6ZMC9,244,1,244,0,1.000,contiguous,20-263
Q495M3,32,6,112,80,0.286,intermittent,80-81;170-197;244-264;318-349;401-404;459-483
Q96P56,20,4,51,31,0.392,intermittent,132-140;201-203;263-281;295-314
Q8N6C5,756,2,1246,490,0.607,intermittent,29-518;581-1336
B6SEH9,300,2,358,58,0.838,intermittent,22-321;478-535
O15432,22,2,27,5,0.815,intermittent,1-22;115-119
Q96PQ0,1028,1,1028,0,1.000,contiguous,51-1078
Q7Z3D4,217,1,217,0,1.000,contiguous,1-217
P25106,40,4,109,69,0.367,intermittent,1-40;103-118;184-213;274-296
O95971,134,0,0,0,,no_accepted_segment,
Q9H222,74,3,102,28,0.725,intermittent,405-421;490-500;550-623
Q9GZP9,18,2,19,1,0.947,intermittent,79-96;172-172
O15165,64,1,64,0,1.000,contiguous,1-64
Q8N1L4,310,1,310,0,1.000,contiguous,31-340
Q96A28,218,1,218,0,1.000,contiguous,19-236
Q8N423,439,1,439,0,1.000,contiguous,22-460
P46094,31,4,85,54,0.365,intermittent,1-31;90-103;168-190;251-267
Q9UIQ6,894,1,894,0,1.000,contiguous,132-1025
Q9HBV2,192,1,192,0,1.000,contiguous,30-221
Q15116,146,1,146,0,1.000,contiguous,25-170
Q14126,560,1,560,0,1.000,contiguous,50-609
O14493,53,2,75,22,0.707,intermittent,29-81;139-160
P61009,148,1,148,0,1.000,contiguous,33-180
Q9Y3Q4,28,4,59,31,0.475,intermittent,287-293;360-378;437-464;487-491
Q8N1M1,19,2,28,9,0.679,intermittent,52-60;256-274
P28845,268,1,268,0,1.000,contiguous,25-292
Q9NZ01,18,3,29,11,0.621,intermittent,107-124;181-189;263-264
Q9NZP0,37,4,96,59,0.385,intermittent,1-22;73-96;158-194;256-268
Q6P9A2,572,1,572,0,1.000,contiguous,36-607
O43581,16,1,16,0,1.000,contiguous,1-16
Q8NGC9,37,4,109,72,0.339,intermittent,1-35;86-109;171-207;269-281
P50391,39,4,100,61,0.390,intermittent,1-39;109-116;177-212;285-301
Q8N6M3,31,3,51,20,0.608,intermittent,45-57;115-145;212-218
P47890,38,4,97,59,0.392,intermittent,1-25;80-100;159-196;260-272
Q9NZQ7,220,1,220,0,1.000,contiguous,19-238
Q6UXU6,31,1,31,0,1.000,contiguous,27-57
Q8NGG1,41,4,95,54,0.432,intermittent,1-24;79-97;165-205;261-271
Q8NFN8,47,4,105,58,0.448,intermittent,1-47;108-118;186-222;279-288
Q8NH59,36,4,102,66,0.353,intermittent,1-27;78-101;163-198;261-275
Q9ULV1,176,4,231,55,0.762,intermittent,37-212;276-299;366-383;461-473
Q13183,39,8,169,130,0.231,intermittent,29-36;70-74;139-139;236-269;348-367;434-464;476-506;554-592
Q9Y3A6,169,1,169,0,1.000,contiguous,28-196
Q8TCT9,31,5,65,34,0.477,intermittent,1-31;99-100;179-181;231-256;312-314
P05106,692,1,692,0,1.000,contiguous,27-718
O95484,53,2,75,22,0.707,intermittent,29-81;138-159
Q8NGQ6,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
O14863,17,3,41,24,0.415,intermittent,135-143;200-216;296-310
Q8NHB1,31,4,92,61,0.337,intermittent,1-31;80-99;171-198;260-272
Q9HA82,31,1,31,0,1.000,contiguous,1-31
Q49A17,573,1,573,0,1.000,contiguous,29-601
Q8NGU4,38,4,96,58,0.396,intermittent,1-24;79-99;158-195;260-272
Q8N6Y1,830,1,830,0,1.000,contiguous,61-890
Q9H2Y9,130,6,257,127,0.506,intermittent,150-168;221-260;330-344;450-469;522-651;710-742
Q8NGI9,42,4,105,63,0.400,intermittent,1-26;77-100;156-197;260-272
P28223,80,4,114,34,0.702,intermittent,1-80;138-146;216-232;349-356
Q86WC4,253,1,253,0,1.000,contiguous,32-284
Q8NGY5,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q92847,40,4,106,66,0.377,intermittent,1-40;97-117;184-211;286-302
O95528,95,6,151,56,0.629,intermittent,37-48;99-106;156-166;255-269;320-414;467-476
P16070,629,1,629,0,1.000,contiguous,21-649
Q2LD37,24,1,24,0,1.000,contiguous,1-24
P04921,57,1,57,0,1.000,contiguous,1-57
Q7RTX0,550,4,597,47,0.921,intermittent,21-570;625-639;704-729;784-789
Q9ULS6,19,4,49,30,0.388,intermittent,207-225;281-290;349-361;382-388
Q9NZD1,27,4,73,46,0.370,intermittent,1-27;85-93;145-167;226-239
O95471,53,2,75,22,0.707,intermittent,29-81;139-160
P47872,119,4,166,47,0.717,intermittent,23-141;196-216;277-291;357-367
Q9UI40,73,6,116,43,0.629,intermittent,60-132;200-204;265-265;519-533;591-602;652-661
A6NM10,17,4,37,20,0.459,intermittent,42-55;143-145;192-194;207-223
Q9UGF6,36,4,98,62,0.367,intermittent,1-25;76-99;161-196;259-271
P16422,242,1,242,0,1.000,contiguous,24-265
Q9NS40,44,4,72,28,0.611,intermittent,434-449;516-521;571-614;636-641
P18089,22,4,59,37,0.373,intermittent,1-12;75-85;149-170;394-407
Q8WWT9,31,7,74,43,0.419,intermittent,34-35;73-77;267-274;358-377;460-463;502-505;572-602
Q14210,77,0,0,0,,no_accepted_segment,
O43567,148,1,148,0,1.000,contiguous,35-182
O14842,36,4,67,31,0.537,intermittent,1-8;65-79;143-178;249-256
Q15761,42,4,109,67,0.385,intermittent,1-42;99-117;178-208;391-407
Q9NZ42,23,1,23,0,1.000,contiguous,79-101
Q9BSE2,31,3,59,28,0.525,intermittent,225-243;304-312;364-394
Q99250,99,16,340,241,0.291,intermittent,149-155;209-214;271-369;395-401;779-789;844-845;899-927;949-961;1228-1240;1293-1300;1357-1408;1431-1447;1551-1561;1611-1623;1678-1699;1723-1752
Q8N608,741,1,741,0,1.000,contiguous,56-796
Q7Z3C6,44,2,53,9,0.830,intermittent,85-128;398-406
Q86UD5,13,7,58,45,0.224,intermittent,105-113;162-171;228-233;291-300;358-361;412-417;474-486
Q8IZF6,2713,4,2745,32,0.988,intermittent,28-2740;2801-2806;2871-2892;2962-2965
P51685,35,4,97,62,0.361,intermittent,1-35;94-107;172-202;264-280
B0FP48,171,1,171,0,1.000,contiguous,34-204
P30953,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
Q16602,117,4,159,42,0.736,intermittent,23-139;199-209;274-289;352-366
P30874,43,4,94,51,0.457,intermittent,1-43;104-118;182-207;279-288
Q5H943,92,1,92,0,1.000,contiguous,22-113
Q6Q8B3,216,1,216,0,1.000,contiguous,24-239
Q9UGH3,36,7,93,57,0.387,intermittent,132-139;183-218;285-288;303-309;393-417;483-485;538-547
Q13443,669,1,669,0,1.000,contiguous,29-697
Q8NGW1,36,4,98,62,0.367,intermittent,1-25;76-99;161-196;259-271
O15146,472,1,472,0,1.000,contiguous,24-495
Q8N3T1,605,1,605,0,1.000,contiguous,35-639
Q8N3J6,343,1,343,0,1.000,contiguous,25-367
Q8TAQ9,293,1,293,0,1.000,contiguous,65-357
P36888,517,1,517,0,1.000,contiguous,27-543
Q2M3T9,424,1,424,0,1.000,contiguous,30-453
Q9HBB8,644,1,644,0,1.000,contiguous,26-669
Q8WTX9,35,2,39,4,0.897,intermittent,74-77;207-241
P06731,641,0,0,0,,no_accepted_segment,
P22607,353,1,353,0,1.000,contiguous,23-375
P23468,1245,1,1245,0,1.000,contiguous,21-1265
Q6PI73,424,1,424,0,1.000,contiguous,24-447
Q01959,65,4,119,54,0.546,intermittent,172-236;288-306;377-400;543-553
Q9NQ60,167,1,167,0,1.000,contiguous,15-181
A6NIJ9,32,4,79,47,0.405,intermittent,1-22;85-95;163-194;259-272
Q9UN42,226,1,226,0,1.000,contiguous,132-357
O75355,442,1,442,0,1.000,contiguous,44-485
P15813,282,1,282,0,1.000,contiguous,20-301
Q9UEU0,3,1,3,0,1.000,contiguous,230-232
Q13936,60,16,351,291,0.171,intermittent,144-158;210-232;291-350;373-380;544-554;607-615;674-693;716-725;920-931;1007-1013;1072-1121;1143-1159;1262-1269;1322-1372;1431-1452;1472-1499
Q92611,632,1,632,0,1.000,contiguous,26-657
Q96R30,37,4,97,60,0.381,intermittent,1-26;81-101;160-196;261-273
Q68CQ7,343,1,343,0,1.000,contiguous,29-371
P26012,642,1,642,0,1.000,contiguous,43-684
Q86UP6,544,1,544,0,1.000,contiguous,25-568
Q9UNL2,59,2,86,27,0.686,intermittent,1-27;77-135
P0C6T2,4,1,4,0,1.000,contiguous,1-4
Q9BV23,8,1,8,0,1.000,contiguous,1-8
P48546,117,4,175,58,0.669,intermittent,22-138;190-217;279-293;363-377
Q15011,5,1,5,0,1.000,contiguous,285-289
P48230,44,2,59,15,0.746,intermittent,31-45;115-158
Q9UBV7,276,1,276,0,1.000,contiguous,52-327
Q6ICH7,290,1,290,0,1.000,contiguous,80-369
P35372,68,4,110,42,0.618,intermittent,1-68;132-142;208-230;307-314
O75379,5,1,5,0,1.000,contiguous,137-141
Q96PE1,738,4,766,28,0.963,intermittent,34-771;829-832;908-924;1041-1047
P37287,42,1,42,0,1.000,contiguous,443-484
Q9UM00,55,3,79,24,0.696,intermittent,1-55;158-171;182-191
Q9H6F2,18,4,48,30,0.375,intermittent,1-18;73-85;166-178;231-234
Q8NGJ7,36,4,102,66,0.353,intermittent,1-27;78-101;163-198;260-274
Q86SP6,35,4,78,43,0.449,intermittent,1-35;91-109;177-189;332-342
P51170,465,1,465,0,1.000,contiguous,77-541
Q9Y5G7,663,1,663,0,1.000,contiguous,30-692
Q15758,71,5,131,60,0.542,intermittent,82-94;154-224;286-306;401-413;448-460
P11168,67,6,118,51,0.568,intermittent,32-98;149-158;209-217;325-338;390-400;455-461
Q29980,287,1,287,0,1.000,contiguous,23-309
Q8N9W7,101,1,101,0,1.000,contiguous,24-124
Q9H3H5,23,6,61,38,0.377,intermittent,1-10;79-91;144-166;214-218;270-271;401-408
Q13261,175,1,175,0,1.000,contiguous,31-205
A0PJK1,43,7,135,92,0.319,intermittent,1-15;94-99;171-173;222-264;322-355;431-443;493-513
Q05586,541,2,704,163,0.768,intermittent,19-559;649-811
Q5T7P8,59,1,59,0,1.000,contiguous,1-59
O95371,38,4,97,59,0.392,intermittent,1-25;80-100;159-196;260-272
P16671,410,1,410,0,1.000,contiguous,30-439
P11362,355,1,355,0,1.000,contiguous,22-376
Q16538,21,4,65,44,0.323,intermittent,1-17;71-91;155-174;297-303
A6NFU0,359,1,359,0,1.000,contiguous,18-376
Q9ULI3,1219,1,1219,0,1.000,contiguous,30-1248
Q13002,520,2,675,155,0.770,intermittent,32-551;661-815
Q86VR2,174,2,236,62,0.737,intermittent,102-163;208-381
Q8TDV5,23,4,68,45,0.338,intermittent,1-12;59-81;147-164;248-262
P55085,35,4,77,42,0.455,intermittent,37-71;138-149;212-235;318-323
Q8NFM7,283,1,283,0,1.000,contiguous,17-299
P32246,34,4,93,59,0.366,intermittent,1-34;92-107;172-197;265-281
Q8NH19,37,4,90,53,0.411,intermittent,1-16;67-90;152-188;250-262
P57103,43,6,109,66,0.394,intermittent,31-73;169-169;224-230;748-754;800-828;882-903
Q9UJ42,23,4,60,37,0.383,intermittent,1-23;80-93;158-177;266-268
Q8NGP6,36,4,97,61,0.371,intermittent,1-24;75-98;160-195;258-270
P39656,385,1,385,0,1.000,contiguous,43-427
Q8NGN2,38,4,111,73,0.342,intermittent,1-38;89-113;175-211;273-283
O75072,433,1,433,0,1.000,contiguous,29-461
Q9H1Y3,40,4,87,47,0.460,intermittent,1-40;103-117;178-201;280-287
Q9BYG0,343,1,343,0,1.000,contiguous,36-378
Q8NGC1,62,4,136,74,0.456,intermittent,1-62;114-135;203-241;297-309
Q99808,43,6,98,55,0.439,intermittent,37-79;132-140;195-202;313-328;378-393;451-456
P25116,61,4,125,64,0.488,intermittent,42-102;158-176;240-268;335-350
Q8N127,42,4,104,62,0.404,intermittent,1-25;76-99;155-196;259-271
Q9BUN8,38,3,49,11,0.776,intermittent,32-69;116-122;167-170
Q5QJU3,32,4,53,21,0.604,intermittent,1-32;84-86;143-143;195-211
O95772,23,2,30,7,0.767,intermittent,75-97;144-150
Q9NS75,42,4,122,80,0.344,intermittent,1-42;94-123;175-204;267-286
Q9P244,505,1,505,0,1.000,contiguous,32-536
Q96PS8,37,4,72,35,0.514,intermittent,42-55;122-158;206-208;224-241
Q6PI25,41,2,42,1,0.976,intermittent,32-72;160-160
Q495N2,32,6,112,80,0.286,intermittent,68-71;159-185;232-252;306-337;389-392;447-470
Q9NPC1,30,4,93,63,0.323,intermittent,1-24;82-96;162-185;246-275
Q9NZC3,223,1,223,0,1.000,contiguous,25-247
A1A5B4,108,4,252,144,0.429,intermittent,220-264;353-373;445-552;626-703
Q13508,335,0,0,0,,no_accepted_segment,
O60635,102,2,122,20,0.836,intermittent,33-52;110-211
Q14627,317,1,317,0,1.000,contiguous,27-343
O95070,15,2,18,3,0.833,intermittent,160-174;227-229
Q9UKN1,5364,1,5364,0,1.000,contiguous,17-5380
Q8NGJ3,36,4,99,63,0.364,intermittent,1-24;75-98;160-195;257-271
Q96L08,103,1,103,0,1.000,contiguous,1-103
Q9HCN6,247,1,247,0,1.000,contiguous,21-267
Q9UBM1,43,3,67,24,0.642,intermittent,1-12;34-45;115-157
Q8NFU0,34,2,43,9,0.791,intermittent,52-60;256-289
Q8NH92,38,4,109,71,0.349,intermittent,1-38;93-113;172-208;273-285
P40199,285,0,0,0,,no_accepted_segment,
Q9P2U7,32,6,80,48,0.400,intermittent,85-116;162-169;230-236;324-341;400-401;457-469
P14867,226,3,251,25,0.900,intermittent,28-253;302-311;442-456
P13598,199,1,199,0,1.000,contiguous,25-223
P02730,40,4,86,46,0.465,intermittent,428-435;477-485;542-570;624-663
P24394,207,1,207,0,1.000,contiguous,26-232
Q8NC67,325,1,325,0,1.000,contiguous,23-347
Q8IUH4,27,3,37,10,0.730,intermittent,313-320;369-370;492-518
Q00973,508,1,508,0,1.000,contiguous,26-533
O14788,249,1,249,0,1.000,contiguous,69-317
P30988,122,4,163,41,0.748,intermittent,25-146;203-219;281-296;360-367
Q6ZS82,4,1,4,0,1.000,contiguous,232-235
Q3KPI0,206,1,206,0,1.000,contiguous,35-240
Q6PIU1,12,2,19,7,0.632,intermittent,232-238;298-309
Q13606,36,4,100,64,0.360,intermittent,1-27;78-101;163-198;261-273
Q96LA9,27,4,63,36,0.429,intermittent,1-27;88-93;157-175;239-249
Q8NGA1,38,4,97,59,0.392,intermittent,1-25;80-100;159-196;260-272
Q8NGZ9,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
Q9Y5H4,664,1,664,0,1.000,contiguous,29-692
P15260,228,1,228,0,1.000,contiguous,18-245
Q8N8Q1,16,3,27,11,0.593,intermittent,46-53;113-128;191-193
O76090,19,2,28,9,0.679,intermittent,52-60;256-274
O60939,128,1,128,0,1.000,contiguous,30-157
Q9Y320,54,1,54,0,1.000,contiguous,49-102
O43921,163,0,0,0,,no_accepted_segment,
Q8NGX6,45,4,119,74,0.378,intermittent,1-45;96-119;181-217;279-291
P14151,294,1,294,0,1.000,contiguous,39-332
O75311,222,3,246,24,0.902,intermittent,34-255;304-314;452-464
P25105,29,4,84,55,0.345,intermittent,1-16;75-91;156-184;255-276
O15503,19,3,36,17,0.528,intermittent,108-126;183-185;232-245
P08172,20,4,54,34,0.370,intermittent,1-20;86-92;163-182;413-419
P48169,224,3,251,27,0.892,intermittent,36-259;306-318;541-554
Q5BKT4,37,6,111,74,0.333,intermittent,28-64;119-130;173-175;271-283;345-367;414-436
P04440,196,1,196,0,1.000,contiguous,30-225
Q6V1P9,2919,1,2919,0,1.000,contiguous,68-2986
O00254,56,4,119,63,0.471,intermittent,39-94;149-167;231-260;323-336
Q8IXF9,33,3,68,35,0.485,intermittent,22-54;127-145;200-215
Q8NGI6,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q9UF33,528,1,528,0,1.000,contiguous,23-550
P59901,423,1,423,0,1.000,contiguous,24-446
Q8NGG5,37,4,105,68,0.352,intermittent,1-31;82-105;167-203;265-277
P30872,56,4,97,41,0.577,intermittent,1-56;121-131;197-219;297-303
P56749,56,2,74,18,0.757,intermittent,32-87;157-174
Q9P2E9,7,1,7,0,1.000,contiguous,1-7
P06756,962,1,962,0,1.000,contiguous,31-992
P98073,972,1,972,0,1.000,contiguous,48-1019
Q9Y3Q3,157,1,157,0,1.000,contiguous,24-180
Q9UMF0,804,1,804,0,1.000,contiguous,32-835
Q9H6X2,289,1,289,0,1.000,contiguous,33-321
P0C628,31,4,92,61,0.337,intermittent,1-28;78-99;165-195;261-271
Q9Y5Z6,300,1,300,0,1.000,contiguous,27-326
B4DS77,126,1,126,0,1.000,contiguous,24-149
Q6L9W6,953,1,953,0,1.000,contiguous,46-998
P42857,82,1,82,0,1.000,contiguous,104-185
P54764,528,1,528,0,1.000,contiguous,20-547
O00421,43,4,112,69,0.384,intermittent,1-43;96-104;166-198;260-286
Q8N7P3,51,2,77,26,0.662,intermittent,31-81;139-164
A6NL88,167,1,167,0,1.000,contiguous,20-186
Q29983,284,1,284,0,1.000,contiguous,24-307
Q8NFT8,606,1,606,0,1.000,contiguous,35-640
Q99572,282,1,282,0,1.000,contiguous,47-328
Q96MC6,42,7,166,124,0.253,intermittent,1-40;96-103;148-160;210-243;306-313;359-379;449-490
Q9P283,1036,1,1036,0,1.000,contiguous,1-1036
Q96JP9,681,1,681,0,1.000,contiguous,20-700
Q6UWN0,198,0,0,0,,no_accepted_segment,
Q16445,224,3,248,24,0.903,intermittent,20-243;291-304;444-453
O14672,653,1,653,0,1.000,contiguous,20-672
Q86SM8,26,4,63,37,0.413,intermittent,1-20;81-106;163-176;239-241
Q96KC8,106,1,106,0,1.000,contiguous,48-153
P03999,30,4,78,48,0.385,intermittent,1-30;94-107;171-196;271-278
Q8NH72,37,4,92,55,0.402,intermittent,1-23;78-98;157-193;257-267
Q96R72,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
O60330,663,1,663,0,1.000,contiguous,30-692
Q8N148,37,4,97,60,0.381,intermittent,1-23;74-97;159-195;257-269
Q8NH42,37,4,94,57,0.394,intermittent,1-25;80-100;159-195;259-269
Q8NEA5,71,1,71,0,1.000,contiguous,30-100
O95866,125,1,125,0,1.000,contiguous,18-142
Q8NH57,36,4,102,66,0.353,intermittent,1-27;78-101;163-198;261-275
Q9UNK0,4,1,4,0,1.000,contiguous,233-236
Q9H2U9,650,1,650,0,1.000,contiguous,19-668
Q86V40,458,0,0,0,,no_accepted_segment,
Q8NG95,37,4,99,62,0.374,intermittent,1-25;76-99;161-197;259-271
Q75NE6,27,1,27,0,1.000,contiguous,44-70
P04000,52,4,100,48,0.520,intermittent,1-52;116-129;193-218;293-300
Q8NGL4,36,4,100,64,0.360,intermittent,1-27;78-101;163-198;261-273
Q5PT55,123,5,165,42,0.745,intermittent,20-142;196-206;253-270;330-333;389-397
Q9H4D0,811,1,811,0,1.000,contiguous,21-831
Q14849,22,2,29,7,0.759,intermittent,73-94;142-148
P0C7N5,40,4,100,60,0.400,intermittent,1-28;78-97;165-204;261-272
Q96QD8,54,6,105,51,0.514,intermittent,97-102;178-188;239-292;351-371;435-436;496-506
Q14973,22,5,48,26,0.458,intermittent,1-22;84-86;143-156;218-219;274-280
Q9NY15,2453,1,2453,0,1.000,contiguous,26-2478
Q8N6U8,33,4,108,75,0.306,intermittent,1-31;82-105;159-191;288-307
P38435,381,5,467,86,0.816,intermittent,81-114;151-161;217-251;290-295;378-758
Q9Y336,331,1,331,0,1.000,contiguous,18-348
Q13797,952,1,952,0,1.000,contiguous,30-981
P48065,73,1,73,0,1.000,contiguous,138-210
Q587I9,4,2,7,3,0.571,intermittent,104-107;164-166
Q16570,63,4,118,55,0.534,intermittent,1-63;117-129;188-207;266-287
Q13585,30,4,85,55,0.353,intermittent,1-30;86-103;165-188;261-273
Q9NYZ4,347,1,347,0,1.000,contiguous,17-363
Q9H2X3,329,1,329,0,1.000,contiguous,71-399
Q9NTI2,27,5,64,37,0.422,intermittent,116-119;338-364;909-910;981-997;1050-1063
Q7Z6A9,127,1,127,0,1.000,contiguous,31-157
Q9UHE5,164,1,164,0,1.000,contiguous,64-227
Q8NFR3,7,1,7,0,1.000,contiguous,30-36
Q9Y3N9,37,4,96,59,0.385,intermittent,1-25;80-100;159-195;260-272
Q9BT22,2,1,2,0,1.000,contiguous,1-2
Q9NYG2,22,2,26,4,0.846,intermittent,69-72;193-214
Q96RD9,836,1,836,0,1.000,contiguous,16-851
P59025,4,1,4,0,1.000,contiguous,260-263
Q9BV40,4,1,4,0,1.000,contiguous,97-100
Q14330,32,4,91,59,0.352,intermittent,1-26;78-95;160-191;254-268
P46091,41,4,112,71,0.366,intermittent,1-41;95-112;176-210;269-286
P46663,40,4,93,53,0.430,intermittent,1-40;99-111;179-199;273-291
Q6UXD5,817,1,817,0,1.000,contiguous,28-844
P0C617,44,4,118,74,0.373,intermittent,1-44;95-113;179-220;275-287
Q9NSD7,81,4,137,56,0.591,intermittent,1-81;141-156;237-270;351-356
Q12797,684,1,684,0,1.000,contiguous,75-758
Q8TD07,195,1,195,0,1.000,contiguous,31-225
Q9ULK5,18,2,36,18,0.500,intermittent,130-147;200-217
Q8NGF6,37,4,90,53,0.411,intermittent,1-16;67-90;152-188;250-262
Q9Y5P0,36,4,98,62,0.367,intermittent,1-23;74-97;158-193;256-270
Q86VE9,53,5,131,78,0.405,intermittent,1-36;111-124;178-198;252-258;333-385
Q4KMQ2,93,4,209,116,0.445,intermittent,322-375;477-509;573-601;744-836
P46089,42,4,84,42,0.500,intermittent,1-42;99-110;174-198;273-277
O60755,25,4,65,40,0.385,intermittent,1-20;79-96;160-184;258-259
Q13740,500,1,500,0,1.000,contiguous,28-527
P52569,38,7,127,89,0.299,intermittent,60-63;126-163;214-248;310-339;408-410;512-524;579-582
Q9C0B5,22,2,26,4,0.846,intermittent,35-38;170-191
Q9UIB8,204,1,204,0,1.000,contiguous,22-225
Q9HCC8,281,3,319,38,0.881,intermittent,60-85;143-154;210-490
Q86YC3,632,1,632,0,1.000,contiguous,19-650
Q5BJF2,38,2,58,20,0.655,intermittent,31-68;121-140
O14520,38,4,73,35,0.521,intermittent,55-67;133-170;218-221;236-253
P48357,818,1,818,0,1.000,contiguous,22-839
P17301,1103,1,1103,0,1.000,contiguous,30-1132
Q9Y397,24,2,31,7,0.774,intermittent,57-63;205-228
P37088,456,1,456,0,1.000,contiguous,107-562
Q9P109,419,1,419,0,1.000,contiguous,35-453
P49257,447,1,447,0,1.000,contiguous,31-477
Q8NGH7,43,4,118,75,0.364,intermittent,1-43;94-117;179-214;277-291
Q86T13,376,1,376,0,1.000,contiguous,22-397
O60427,17,2,20,3,0.850,intermittent,143-145;289-305
P01589,219,1,219,0,1.000,contiguous,22-240
Q9HC07,56,4,82,26,0.683,intermittent,34-89;148-151;250-267;321-324
Q6NUT3,27,5,73,46,0.370,intermittent,48-56;119-124;192-218;303-310;424-446
Q12893,57,2,75,18,0.760,intermittent,41-97;148-165
